Team,Season,id,firstName,lastName,sweaterNumber,positionCode,city,country,latitude,longitude
PHI,20242025,8475176,Ryan,Ellis,94,D,Hamilton,CAN,43.2560802,-79.8728583
COL,20242025,8475177,Calvin,de Haan,44,D,Carp,CAN,45.345148,-76.03672
FLA,20242025,8475179,Dmitry,Kulikov,7,D,Lipetsk,RUS,52.6935178,39.1122664
STL,20242025,8475181,Nick,Leddy,4,D,Eden Prairie,USA,44.8546856,-93.470786
NYR,20242025,8475184,Chris,Kreider,20,L,Boxford,USA,42.6625764,-70.9977456
VGK,20242025,8475188,Brayden,McNabb,3,D,Davidson,CAN,51.2647972,-105.984596
NYR,20242025,8475191,Reilly,Smith,91,R,Mimico,CAN,43.6166773,-79.4968048
NJD,20242025,8475193,Tomas,Tatar,90,L,Ilava,SVK,48.9985674,18.2307598
CGY,20242025,8475197,Tyson,Barrie,8,D,Victoria,CAN,48.4283182,-123.364953
CAR,20242025,8475200,Dmitry,Orlov,7,D,Novokuznetsk,RUS,53.7575903,87.1358494
ANA,20242025,8475208,Brian,Dumoulin,6,D,Biddeford,USA,43.4925843,-70.4533844
EDM,20242025,8475218,Mattias,Ekholm,14,D,Borlange,SWE,60.4856426,15.4234561
MIN,20242025,8475220,Marcus,Foligno,17,L,Buffalo,USA,42.8867166,-78.8783922
CHI,20242025,8475225,Craig,Smith,15,C,Madison,USA,43.074761,-89.3837613
NYI,20242025,8475231,Casey,Cizikas,53,C,Toronto,CAN,43.6534817,-79.3839347
MTL,20242025,8475233,David,Savard,58,D,St-Hyacinthe,CAN,45.627484,-72.940636
PHI,20242025,8475235,Nicolas,Deslauriers,44,L,LaSalle,CAN,45.4325141,-73.6292667
DET,20242025,8475279,Ben,Chiarot,8,D,Hamilton,CAN,43.2560802,-79.8728583
NJD,20242025,8475287,Erik,Haula,56,L,Pori,FIN,61.4866126,21.7972071
LAK,20242025,8475311,Darcy,Kuemper,35,G,Saskatoon,CAN,52.131802,-106.660767
NYI,20242025,8475314,Anders,Lee,27,L,Edina,USA,44.8897027,-93.3501222
OTT,20242025,8475324,Nick,Jensen,3,D,Rogers,USA,36.3781607,-95.6190889
WSH,20242025,8475343,Nic,Dowd,26,C,Huntsville,USA,34.729847,-86.5859011
NJD,20242025,8475455,Brenden,Dillon,5,D,New Westminster,CAN,49.2067726,-122.9108818
ANA,20242025,8475462,Radko,Gudas,7,D,Prague,CZE,50.0596288,14.4464593
DET,20242025,8475660,Cam,Talbot,39,G,Caledonia,CAN,46.0493558,-62.6946746
FLA,20242025,8475683,Sergei,Bobrovsky,72,G,Novokuznetsk,RUS,53.7575903,87.1358494
TOR,20242025,8475690,Chris,Tanev,8,D,Toronto,CAN,43.6534817,-79.3839347
MIN,20242025,8475692,Mats,Zuccarello,36,R,Oslo,NOR,59.9133301,10.7389701
TOR,20242025,8475714,Calle,Jarnkrok,19,C,Gavle,SWE,60.6750132,17.1467019
EDM,20242025,8475717,Calvin,Pickard,30,G,Moncton,CAN,46.0985679,-64.8004265
DET,20242025,8475718,Justin,Holl,3,D,Tonka Bay,USA,44.9085741,-93.5930133
BUF,20242025,8475722,Jason,Zucker,17,L,Newport Beach,USA,33.6170092,-117.9294401
SJS,20242025,8475726,Tyler,Toffoli,73,C,Scarborough,CAN,43.7729744,-79.2576479
BOS,20242025,8475745,Charlie,Coyle,13,C,East Weymouth,USA,42.2193438,-70.9223328
MIN,20242025,8475750,Jon,Merrill,4,D,Oklahoma City,USA,35.4729886,-97.5170536
STL,20242025,8475753,Justin,Faulk,72,D,South St. Paul,USA,44.8906694,-93.0372808
NYI,20242025,8475754,Brock,Nelson,29,C,Warroad,USA,48.905266,-95.314404
VAN,20242025,8475762,Derek,Forbort,27,D,Duluth,USA,46.7729322,-92.1251218
PIT,20242025,8475763,Kevin,Hayes,13,R,Dorchester,USA,38.3930694,-76.0995677
ANA,20242025,8475764,Cam,Fowler,4,D,Windsor,CAN,42.3167397,-83.0373389
DET,20242025,8475765,Vladimir,Tarasenko,11,R,Yaroslavl,RUS,57.6263877,39.8933705
SEA,20242025,8475768,Jaden,Schwartz,17,C,Wilcox,CAN,50.097679,-104.7258
COL,20242025,8475780,Chris,Wagner,14,R,Walpole,USA,43.0795515,-72.4259725
EDM,20242025,8475784,Jeff,Skinner,53,C,Toronto,CAN,43.6534817,-79.3839347
EDM,20242025,8475786,Zach,Hyman,18,L,Toronto,CAN,43.6534817,-79.3839347
CBJ,20242025,8475790,Erik,Gudbranson,44,D,Ottawa,CAN,45.4208777,-75.6901106
CHI,20242025,8475791,Taylor,Hall,71,L,Calgary,CAN,51.0456064,-114.057541
DAL,20242025,8475794,Tyler,Seguin,91,C,Brampton,CAN,43.685832,-79.7599366
WSH,20242025,8475795,Dylan,McIlrath,52,D,Winnipeg,CAN,49.8955367,-97.1384584
SJS,20242025,8475798,Mikael,Granlund,64,C,Oulu,FIN,65.0118734,25.4716809
WPG,20242025,8475799,Nino,Niederreiter,62,R,Chur,SUI,46.854747,9.5264904
NSH,20242025,8475809,Scott,Wedgewood,41,G,Brampton,CAN,43.685832,-79.7599366
PIT,20242025,8475810,Bryan,Rust,17,R,Pontiac,USA,42.6389216,-83.2910468
SEA,20242025,8475831,Philipp,Grubauer,31,G,Rosenheim,GER,47.8539273,12.127262
NYR,20242025,8475842,Sam,Carrick,39,C,Markham,CAN,43.8563707,-79.3376825
MTL,20242025,8475848,Brendan,Gallagher,11,R,Edmonton,CAN,53.5462055,-113.491241
CHI,20242025,8475852,Petr,Mrazek,34,G,Ostrava,CZE,49.8349139,18.2820084
CAR,20242025,8475883,Frederik,Andersen,31,G,Herning,DEN,56.1379757,8.9746623
VGK,20242025,8475913,Mark,Stone,61,R,Winnipeg,CAN,49.8955367,-97.1384584
DAL,20242025,8476278,Colin,Blackwell,15,C,North Andover,USA,42.6839894,-71.1127065
NJD,20242025,8476292,Ondrej,Palat,18,L,Frydek-Mistek,CZE,49.685635,18.3483416
COL,20242025,8476312,Josh,Manson,42,D,Hinsdale,USA,37.813681,-107.3304179
WPG,20242025,8476331,Dylan,DeMelo,2,D,London,CAN,42.9832406,-81.243372
OTT,20242025,8476341,Anton,Forsberg,31,G,Härnösand,SWE,62.6323084,17.9379914
PHI,20242025,8476372,Nick,Seeler,24,D,Eden Prairie,USA,44.8546856,-93.470786
CBJ,20242025,8476374,Sean,Kuraly,7,C,Niagara Falls,USA,43.08436,-79.0614686
NYR,20242025,8476389,Vincent,Trocheck,16,C,Pittsburgh,USA,40.4416941,-79.9900861
