Team,Season,id,firstName,lastName,sweaterNumber,positionCode,city,country,latitude,longitude
FLA,20002001,8444894,Greg,Adams,17,L,Nelson,CAN,49.494891,-117.290039
NJD,20052006,8444919,Tommy,Albelin,6,D,Stockholm,SWE,59.3251172,18.0710935
TBL,20052006,8445000,Dave,Andreychuk,25,L,Hamilton,CAN,43.2560802,-79.8728583
FLA,20032004,8445176,Donald,Audette,28,R,Laval,CAN,45.5757802,-73.7530656
STL,20032004,8445266,Murray,Baron,23,D,Prince George,CAN,53.9128645,-122.7453699
STL,20022003,8445275,Tom,Barrasso,30,G,Boston,USA,42.3554334,-71.060511
FLA,20002001,8445283,Len,Barrie,9,C,Kimberley,CAN,49.6850876,-115.9819477
FLA,20062007,8445386,Ed,Belfour,20,G,Carman,CAN,49.5082995,-98.0016853
PIT,20032004,8445413,Drake,Berehowsky,55,D,Toronto,CAN,43.6534817,-79.3839347
BOS,20012002,8445423,Benoit,Hogue,33,L,Repentigny,CAN,45.7326055,-73.4528307
PIT,20032004,8445428,Marc,Bergevin,23,D,Montréal,CAN,45.5031824,-73.5698065
CGY,20022003,8445440,Craig,Berube,27,L,Calahoo,CAN,53.7084868,-113.9589008
WSH,20022003,8445470,Craig,Billington,1,G,London,CAN,42.9832406,-81.243372
WSH,20002001,8445493,James,Black,21,L,Regina,CAN,50.4479733,-104.6158764
SJS,20092010,8445550,Rob,Blake,4,D,Simcoe,CAN,44.5014007,-79.7038708
CHI,20062007,8445575,Peter,Bondra,12,R,Luck,UKR,50.7450733,25.320078
COL,20002001,8445621,Ray,Bourque,77,D,Montréal,CAN,45.5031824,-73.5698065
DET,20002001,8445730,Doug,Brown,17,R,Southborough,USA,42.3056501,-71.5245087
PIT,20032004,8445733,Kelly,Buchberger,7,L,Langenburg,CAN,50.8417915,-101.701553
DAL,20012002,8445734,Benoit,Brunet,17,L,Ste-Anne-de-Bellevue,CAN,45.4038563,-73.9523976
CAR,20092010,8445735,Rod,Brind'Amour,17,C,Ottawa,CAN,45.4208777,-75.6901106
MTL,20082009,8445739,Patrice,Brisebois,71,D,Montréal,CAN,45.5031824,-73.5698065
LAK,20062007,8445769,Sean,Burke,1,G,Windsor,CAN,42.3167397,-83.0373389
ATL,20002001,8445783,Adam,Burt,7,D,Detroit,USA,42.3315509,-83.0466403
WSH,20052006,8446003,Andrew,Cassels,25,C,Bramalea,CAN,43.70139,-79.6919794
ATL,20092010,8446053,Chris,Chelios,24,D,Chicago,USA,41.8755616,-87.6244212
BOS,20002001,8446117,Paul,Coffey,74,D,Weston,CAN,43.7000465,-79.5127589
NYR,20012002,8446133,Zdeno,Ciger,18,L,Martin,SVK,49.0724921,18.929193
BUF,20012002,8446165,Bob,Corkum,27,C,Salisbury,USA,35.6709727,-80.4742261
DAL,20032004,8446167,Shayne,Corson,72,L,Barrie,CAN,44.3893208,-79.6901302
WSH,20022003,8446181,Sylvain,Cote,3,D,Quebec City,CAN,46.8137431,-71.2084061
SJS,20012002,8446213,Mike,Craig,20,R,St. Mary's,CAN,46.9132085,-53.573688
MIN,20002001,8446286,J.J.,Daigneault,15,D,Montréal,CAN,45.5031824,-73.5698065
DAL,20022003,8446295,Ulf,Dahlen,11,R,Ostersund,SWE,63.1793655,14.6357061
SJS,20032004,8446303,Vincent,Damphousse,25,C,Montréal,CAN,45.5031824,-73.5698065
CAR,20022003,8446305,Jeff,Daniels,11,L,Oshawa,CAN,43.8975558,-78.8635324
NJD,20022003,8446309,Ken,Daneyko,3,D,Windsor,CAN,42.3167397,-83.0373389
PHI,20052006,8446407,Eric,Desjardins,37,D,Rouyn,CAN,48.2382498,-79.0201438
TBL,20052006,8446408,Rob,DiMaio,18,R,Calgary,CAN,51.0456064,-114.057541
DAL,20002001,8446417,Gerald,Diduck,4,D,Edmonton,CAN,53.5462055,-113.491241
CBJ,20022003,8446423,Kevin,Dineen,11,R,Quebec City,CAN,46.8137431,-71.2084061
PIT,20002001,8446435,Bobby,Dollas,4,D,Montréal,CAN,45.5031824,-73.5698065
TOR,20052006,8446454,Tie,Domi,28,R,Windsor,CAN,42.3167397,-83.0373389
DET,20102011,8446485,Kris,Draper,33,C,Toronto,CAN,43.6534817,-79.3839347
DET,20012002,8446494,Steve,Duchesne,28,D,Sept-Iles,CAN,50.2109579,-66.3790642
LAK,20012002,8446675,Nelson,Emerson,19,R,Hamilton,CAN,43.2560802,-79.8728583
BUF,20012002,8446719,Bob,Essensa,31,G,Toronto,CAN,43.6534817,-79.3839347
WSH,20082009,8446788,Sergei,Fedorov,91,C,Pskov,RUS,57.8173923,28.3343465
STL,20012002,8446823,Ray,Ferraro,21,C,Trail,CAN,49.0945296,-117.7097659
STL,20032004,8446826,Jeff,Finley,37,D,Edmonton,CAN,53.5462055,-113.491241
BOS,20052006,8446830,Tom,Fitzgerald,12,R,Billerica,USA,42.5584264,-71.268947
MTL,20012002,8446831,Stephane,Fiset,35,G,Montréal,CAN,45.5031824,-73.5698065
CHI,20022003,8446847,Theo,Fleury,14,R,Oxbow,CAN,49.2298181,-102.173666
CAR,20032004,8446951,Ron,Francis,10,C,Sault Ste. Marie,CAN,46.5126554,-84.3330301
EDM,20002001,8446955,Frantisek,Musil,8,D,Pardubice,CZE,50.0385812,15.7791356
NYI,20002001,8447004,Garry,Galley,28,D,Montréal,CAN,45.5031824,-73.5698065
NSH,20072008,8447091,Martin,Gelinas,23,L,Shawinigan,CAN,46.5396581,-72.7518637
NSH,20022003,8447177,Brent,Gilchrist,41,L,Moose Jaw,CAN,50.401515,-105.542908
CHI,20022003,8447187,Todd,Gill,46,D,Cardinal,CAN,49.4952609,-98.5553967
MTL,20022003,8447206,Doug,Gilmour,93,C,Kingston,CAN,44.230687,-76.481323
SJS,20002001,8447350,Tony,Granato,21,R,Downers Grove,USA,41.7936822,-88.0102281
COL,20002001,8447363,Alexei,Gusarov,5,D,Moscow,RUS,55.625578,37.6063916
SJS,20022003,8447364,Adam,Graves,9,L,Tecumseh,CAN,42.3117951,-82.8861974
PHI,20022003,8447383,Mark,Greig,9,R,High River,CAN,50.5801916,-113.8709332
NSH,20012002,8447386,Stu,Grimson,8,L,Kamloops,CAN,50.6758269,-120.339415
PHI,20032004,8447449,Jeff,Hackett,33,G,London,CAN,42.9832406,-81.243372
NYI,20012002,8447477,Kevin,Haller,7,D,Trochu,CAN,51.8261473,-113.229651
CAR,20002001,8447680,Kevin,Hatcher,4,D,Detroit,USA,42.3315509,-83.0466403
DET,20072008,8447687,Dominik,Hasek,39,G,Pardubice,CZE,50.0385812,15.7791356
DAL,20012002,8447690,Greg,Hawgood,4,D,Edmonton,CAN,53.5462055,-113.491241
TOR,20002001,8447709,Glenn,Healy,30,G,Pickering,CAN,43.835765,-79.090576
ANA,20002001,8447715,Guy,Hebert,31,G,Troy,USA,42.7284117,-73.6917878
NJD,20082009,8447958,Bobby,Holik,16,C,Jihlava,CZE,49.396064,15.5903065
NSH,20022003,8447979,Bill,Houlder,23,D,Thunder Bay,CAN,48.406414,-89.259796
BUF,20022003,8447981,Doug,Houda,6,D,Blairmore,CAN,49.6071847,-114.4381219
CHI,20022003,8447989,Phil,Housley,6,D,St. Paul,USA,44.9497487,-93.0931028
ATL,20022003,8448017,Tony,Hrkac,12,C,Thunder Bay,CAN,48.406414,-89.259796
PHX,20052006,8448091,Brett,Hull,9,R,Belleville,CAN,44.2436328,-77.3607597
OTT,20032004,8448092,Jody,Hull,16,R,Petrolia,CAN,42.882002,-82.149582
CGY,20172018,8448208,Jaromir,Jagr,68,R,Kladno,CZE,50.1478497,14.1025379
CHI,20002001,8448225,Mark,Janssens,20,C,Surrey,CAN,49.1913033,-122.849143
TOR,20032004,8448287,Calle,Johansson,9,D,Gothenburg,SWE,57.7072326,11.9670171
ATL,20002001,8448380,Chris,Joseph,3,D,Burnaby,CAN,49.2433804,-122.972545
TOR,20082009,8448382,Curtis,Joseph,31,G,Keswick,CAN,44.2396166,-79.4686558
VAN,20032004,8448415,Mike,Keane,9,L,Winnipeg,CAN,49.8955367,-97.1384584
WSH,20012002,8448484,Dmitri,Khristich,8,R,Kiev,UKR,50.4500336,30.5241361
CHI,20002001,8448487,Kris,King,12,L,Bracebridge,CAN,45.041508,-79.310989
TBL,20082009,8448535,Olie,Kolzig,37,G,Johannesburg,RSA,-26.205,28.049722
CBJ,20012002,8448542,Robert,Kron,18,C,Brno,CZE,49.1922443,16.6113382
WSH,20012002,8448543,Frantisek,Kucera,4,D,Prague,CZE,50.0596288,14.4464593
ATL,20022003,8448554,Uwe,Krupp,44,D,Cologne,GER,50.938361,6.959974
PIT,20062007,8448622,John,Leclair,10,L,St. Albans,USA,44.8107911,-73.0833607
NJD,20032004,8448669,Igor,Larionov,8,C,Voskresensk,RUS,55.322518,38.6816824
PHI,20032004,8448674,Claude,Lapointe,13,C,Lachine,CAN,45.435114,-73.6837987
TBL,20012002,8448740,Grant,Ledyard,3,D,Winnipeg,CAN,49.8955367,-97.1384584
BOS,20052006,8448769,Brian,Leetch,22,D,Corpus Christi,USA,27.7635302,-97.4033191
NYR,20022003,8448770,Sylvain,Lefebvre,24,D,Richmond,CAN,49.163168,-123.137414
SJS,20082009,8448772,Claude,Lemieux,32,R,Buckingham,CAN,45.5864671,-75.4168252
PIT,20052006,8448782,Mario,Lemieux,66,C,Montréal,CAN,45.5031824,-73.5698065
OTT,20032004,8448797,Curtis,Leschyshyn,7,D,Thompson,CAN,55.743347,-97.863464
TOR,20022003,8448824,Jyrki,Lumme,25,D,Tampere,FIN,61.4980214,23.7603118
VAN,20072008,8448825,Trevor,Linden,16,C,Medicine Hat,CAN,50.04303,-110.679016
CGY,20032004,8448834,Dave,Lowry,10,L,Sudbury,CAN,46.49272,-80.991211
STL,20032004,8448960,Al,Macinnis,2,D,Inverness,CAN,46.2596772,-71.521879
CBJ,20002001,8449093,Steve,Maltais,17,L,Arvida,CAN,48.425897,-71.1821701
DAL,20012002,8449123,Dave,Manson,4,D,Prince Albert,CAN,53.201097,-105.748901
CGY,20052006,8449137,Bryan,Marchment,7,D,Scarborough,CAN,43.7729744,-79.2576479
